feature,score,weight
trend_0,0.8039842158476449,0.8039842158476449
last_step_delta_norm,0.06230874912825695,0.06230874912825695
trend_1,0.02510170877978188,0.02510170877978188
trend_2,0.019211680813876322,0.019211680813876322
mean_0,0.011289561909066442,0.011289561909066442
eig_abs_0,0.01034101499221572,0.01034101499221572
trend_4,0.010268106098594902,0.010268106098594902
eig_abs_1,0.009228694786680171,0.009228694786680171
trend_3,0.005904314306722606,0.005904314306722606
trend_5,0.004930474734440027,0.004930474734440027
