feature,score,weight
sv_energy_5,30.505199230742175,30.505199230742175
sv_energy_4,18.133992373049495,18.133992373049495
sv_energy_3,11.579579994367045,11.579579994367045
amp_real_0,7.037066315561755,7.037066315561755
window_mean,5.681125908477422,5.681125908477422
sv_energy_0,5.526216017343597,-5.526216017343597
eig_abs_0,4.463657381418566,4.463657381418566
sv_energy_1,4.031021982843896,-4.031021982843896
eig_abs_1,3.1906767283171713,3.1906767283171713
eig_abs_5,1.9588672272619514,-1.9588672272619514
