feature,score,weight
trend_0,0.3212534022993103,0.3212534022993103
last_step_delta_norm,0.16653816206371794,0.16653816206371794
eig_abs_0,0.03906683719132679,0.03906683719132679
eig_abs_1,0.03779364149586508,0.03779364149586508
trend_1,0.026446977329966675,0.026446977329966675
trend_2,0.022996321817469818,0.022996321817469818
mean_0,0.021477827834744622,0.021477827834744622
window_std,0.01391316208131084,0.01391316208131084
eig_abs_2,0.013344348725357346,0.013344348725357346
trend_4,0.011643142913440605,0.011643142913440605
