feature,score,weight
trend_0,0.8027182894374087,0.8027182894374087
last_step_delta_norm,0.0625759778014365,0.0625759778014365
trend_1,0.025008324641866097,0.025008324641866097
trend_2,0.019457050047990584,0.019457050047990584
mean_0,0.011597871955910086,0.011597871955910086
eig_abs_0,0.010163784115108189,0.010163784115108189
trend_4,0.010111579531374633,0.010111579531374633
eig_abs_1,0.009412033014055559,0.009412033014055559
trend_3,0.005868713391007121,0.005868713391007121
window_std,0.004895227215444802,0.004895227215444802
