feature,score,weight
trend_0,0.331241836819293,0.331241836819293
last_step_delta_norm,0.1877456233597525,0.1877456233597525
eig_abs_0,0.03998494336904918,0.03998494336904918
eig_abs_1,0.03921019407554145,0.03921019407554145
trend_1,0.025859636955705666,0.025859636955705666
trend_2,0.024325223793350927,0.024325223793350927
mean_0,0.022818750793015326,0.022818750793015326
eig_abs_2,0.013810870660298234,0.013810870660298234
window_std,0.012373183207717497,0.012373183207717497
trend_4,0.011322023912976929,0.011322023912976929
