Machine_ID,Machine_Type,Temperature,Vibration,RPM,Power_Consumption,Operating_Hours,Motor_Current,Bearing_Temperature,Noise_Level,Yarn_Tension,Failure,Timestamp
TM-0001,Air Jet Loom,69.44,2.66,1805.58,41.03,1130,102.65,67.71,68.61,373.01,0,2023-01-01 00:00:00
TM-0002,Weaving Loom,62.8,2.8,1794.98,37.51,4005,105.34,57.88,68.37,381.66,0,2023-01-01 01:00:00
TM-0003,Air Jet Loom,73.53,2.49,1801.9,39.99,3041,102.0,63.54,68.19,407.78,0,2023-01-01 02:00:00
TM-0004,Ring Spinning,79.11,1.89,1804.18,32.12,6225,102.69,65.33,69.47,398.01,0,2023-01-01 03:00:00
TM-0005,Rotor Spinning,78.69,2.59,1797.69,37.1,1337,116.7,70.35,70.29,386.29,0,2023-01-01 04:00:00
TM-0006,Rotor Spinning,99.66,5.39,1821.55,52.53,13892,130.12,92.78,80.52,415.52,1,2023-01-01 05:00:00
TM-0007,Weaving Loom,79.17,2.65,1779.24,37.77,6581,107.34,68.68,67.66,367.34,0,2023-01-01 06:00:00
TM-0008,Rotor Spinning,73.01,2.47,1771.62,41.13,5191,101.09,67.12,72.62,414.31,0,2023-01-01 07:00:00
TM-0009,Ring Spinning,93.3,4.07,1790.12,54.95,10693,113.18,86.17,89.81,411.61,1,2023-01-01 08:00:00
TM-0010,Spinning Frame,100.79,4.24,1817.99,40.13,14776,130.96,90.09,85.03,410.62,1,2023-01-01 09:00:00
TM-0011,Air Jet Loom,69.52,2.96,1786.68,36.46,4743,114.43,65.87,70.77,378.88,0,2023-01-01 10:00:00
TM-0012,Air Jet Loom,103.69,5.5,1714.66,47.5,13855,126.08,90.41,84.83,373.25,1,2023-01-01 11:00:00
TM-0013,Weaving Loom,84.42,3.83,1739.02,56.41,8197,140.18,84.88,82.79,435.13,1,2023-01-01 12:00:00
TM-0014,Spinning Frame,95.8,4.0,1625.95,48.41,10911,132.28,68.24,87.41,457.06,1,2023-01-01 13:00:00
TM-0015,Spinning Frame,101.51,3.27,1768.2,55.84,11643,128.63,92.01,84.27,427.22,1,2023-01-01 14:00:00
TM-0016,Spinning Frame,77.61,2.65,1805.01,39.04,4991,108.27,70.51,64.45,397.53,0,2023-01-01 15:00:00
TM-0017,Weaving Loom,84.33,2.74,1776.17,39.97,1160,104.98,63.08,68.61,363.31,0,2023-01-01 16:00:00
TM-0018,Ring Spinning,70.66,2.57,1772.6,35.68,2693,104.61,66.71,70.83,392.41,0,2023-01-01 17:00:00
TM-0019,Spinning Frame,81.82,3.09,1792.54,39.51,1815,99.65,67.41,69.33,390.71,0,2023-01-01 18:00:00
TM-0020,Ring Spinning,78.03,1.53,1806.73,38.15,2139,100.77,57.43,68.66,392.85,0,2023-01-01 19:00:00
TM-0021,Weaving Loom,75.87,2.69,1782.32,38.46,5014,110.29,65.26,72.62,395.99,0,2023-01-01 20:00:00
TM-0022,Spinning Frame,65.99,2.73,1768.97,36.47,3455,105.12,69.36,74.31,380.11,0,2023-01-01 21:00:00
TM-0023,Ring Spinning,90.55,4.37,1625.16,60.0,9982,127.6,83.72,76.06,434.29,1,2023-01-01 22:00:00
TM-0024,Air Jet Loom,76.77,1.56,1819.33,36.47,6691,107.75,58.65,77.17,407.65,0,2023-01-01 23:00:00
TM-0025,Spinning Frame,94.14,4.01,1877.44,45.4,9369,133.05,94.93,79.0,406.62,1,2023-01-02 00:00:00
TM-0026,Weaving Loom,73.4,2.4,1805.42,44.73,5799,115.61,70.16,65.44,372.74,0,2023-01-02 01:00:00
TM-0027,Ring Spinning,77.22,2.89,1781.46,37.82,3479,102.25,70.48,76.34,372.52,0,2023-01-02 02:00:00
